Event Name,Date,City,State,Place,Corps,Score,Season
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,1,Carolina Crown,98.3,2013
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,2,Blue Devils,98.05,2013
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,3,The Cadets,96.95,2013
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,4,Santa Clara Vanguard,96.85,2013
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,5,Bluecoats,93.35,2013
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,6,Phantom Regiment,93.25,2013
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,7,The Cavaliers,90.5,2013
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,8,Boston Crusaders,90.4,2013
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,9,Madison Scouts,90.1,2013
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,10,Blue Knights,87.75,2013
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,11,Spirit of Atlanta,86.4,2013
DCI World Championship Finals,10-Aug-13,Indianapolis,IN,12,Blue Stars,85.45,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,1,Carolina Crown,98.25,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,2,Blue Devils,97.6,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,3,The Cadets,96.85,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,4,Santa Clara Vanguard,96.5,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,5,Bluecoats,93.05,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,5,Phantom Regiment,93.05,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,7,The Cavaliers,91.25,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,8,Madison Scouts,90.5,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,9,Boston Crusaders,90,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,10,Blue Knights,89.35,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,11,Spirit of Atlanta,86.4,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,12,Blue Stars,86.2,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,13,Troopers,86.05,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,14,Crossmen,84.85,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,15,Colts,82.45,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,16,Pacific Crest,82.3,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,17,Oregon Crusaders,81.05,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,18,Mandarins,79.75,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,19,The Academy,78.2,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,20,Blue Devils B,77.95,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,21,Vanguard Cadets,77.7,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,22,Jersey Surf,75.4,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,23,Genesis,74.65,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,24,Spartans,72.85,2013
DCI World Championships Semifinals,9-Aug-13,Indianapolis,IN,25,Music City,72.75,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,1,Blue Devils,97.2,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,2,Carolina Crown,97.05,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,3,The Cadets,96.1,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,4,Santa Clara Vanguard,95.5,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,5,Bluecoats,92.9,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,6,Phantom Regiment,92.35,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,7,The Cavaliers,89.9,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,7,Madison Scouts,89.9,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,9,Blue Knights,88.05,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,10,Boston Crusaders,87.95,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,11,Spirit of Atlanta,86.75,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,12,Blue Stars,85.5,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,13,Crossmen,83.75,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,14,Troopers,83.6,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,15,Pacific Crest,81.45,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,16,Colts,81.4,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,17,Mandarins,79.25,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,18,Oregon Crusaders,78.45,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,19,Vanguard Cadets,78.2,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,20,Blue Devils B,77.75,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,21,The Academy,77.5,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,22,Jersey Surf,74.55,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,23,Genesis,73.75,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,24,Spartans,72.8,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,25,Music City,71.55,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,26,Gold,69.95,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,27,Seattle Cascades,69.85,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,28,Pioneer,69.05,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,29,Legends,68.4,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,30,7th Regiment,67,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,31,Raiders,64.9,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,32,Colt Cadets,63.1,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,34,Les Stentors,58.25,2013
DCI World Championships Prelims,8-Aug-13,Indianapolis,IN,36,Blue Saints,52,2013
Pro Football Hall of Fame Enshrinement Festival Drum Corps Competition,6-Aug-13,Massillon,OH,1,Carolina Crown,96.45,2013
Pro Football Hall of Fame Enshrinement Festival Drum Corps Competition,6-Aug-13,Massillon,OH,2,The Cadets,96,2013
Pro Football Hall of Fame Enshrinement Festival Drum Corps Competition,6-Aug-13,Massillon,OH,3,Bluecoats,93.1,2013
Pro Football Hall of Fame Enshrinement Festival Drum Corps Competition,6-Aug-13,Massillon,OH,4,Spirit of Atlanta,85.5,2013
Pro Football Hall of Fame Enshrinement Festival Drum Corps Competition,6-Aug-13,Massillon,OH,5,Pacific Crest,81.3,2013
Pro Football Hall of Fame Enshrinement Festival Drum Corps Competition,6-Aug-13,Massillon,OH,6,The Academy,80.55,2013
Pro Football Hall of Fame Enshrinement Festival Drum Corps Competition,6-Aug-13,Massillon,OH,7,Oregon Crusaders,79.4,2013
Pro Football Hall of Fame Enshrinement Festival Drum Corps Competition,6-Aug-13,Massillon,OH,8,Seattle Cascades,72.3,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,1,Vanguard Cadets,96.15,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,2,Blue Devils B,95.7,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,3,Genesis,91.55,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,4,Spartans,90.5,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,5,Music City,90.35,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,6,Gold,86.75,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,7,7th Regiment,86.6,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,8,Legends,85.7,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,9,Raiders,84.95,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,10,Colt Cadets,80.9,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,12,Les Stentors,76.65,2013
DCI Championships Open Class Championship Finals,6-Aug-13,Michigan City,IN,- -,Blue Saints,- -,2013
Tour of Champions - Buffalo,5-Aug-13,Buffalo,NY,1,Carolina Crown,95.85,2013
Tour of Champions - Buffalo,5-Aug-13,Buffalo,NY,1,Blue Devils,95.85,2013
Tour of Champions - Buffalo,5-Aug-13,Buffalo,NY,3,The Cadets,94.5,2013
Tour of Champions - Buffalo,5-Aug-13,Buffalo,NY,4,Santa Clara Vanguard,94.45,2013
Tour of Champions - Buffalo,5-Aug-13,Buffalo,NY,5,Bluecoats,91.5,2013
Tour of Champions - Buffalo,5-Aug-13,Buffalo,NY,6,Phantom Regiment,91.35,2013
Tour of Champions - Buffalo,5-Aug-13,Buffalo,NY,7,The Cavaliers,89.5,2013
Soaring Sounds - 34,5-Aug-13,Centerville,OH,1,Boston Crusaders,89,2013
Soaring Sounds - 34,5-Aug-13,Centerville,OH,2,Madison Scouts,88.6,2013
Soaring Sounds - 34,5-Aug-13,Centerville,OH,3,Blue Knights,86.4,2013
Soaring Sounds - 34,5-Aug-13,Centerville,OH,4,Colts,81.35,2013
Soaring Sounds - 34,5-Aug-13,Centerville,OH,5,Pacific Crest,80.9,2013
Soaring Sounds - 34,5-Aug-13,Centerville,OH,6,Mandarins,78.4,2013
Soaring Sounds - 34,5-Aug-13,Centerville,OH,7,The Academy,78.2,2013
Soaring Sounds - 34,5-Aug-13,Centerville,OH,8,Jersey Surf,75.4,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,1,Vanguard Cadets,94.35,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,2,Blue Devils B,94.1,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,3,Genesis,91.2,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,4,Music City,89.65,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,5,Spartans,89.4,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,6,7th Regiment,86.45,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,7,Gold,86.1,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,8,Legends,84.1,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,9,Raiders,83.3,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,10,Colt Cadets,78.85,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,12,Les Stentors,74.7,2013
DCI World Championships Open Class Championship Prelims,5-Aug-13,Michigan City,IN,14,Blue Saints,67.55,2013
Tour of Champions,4-Aug-13,Allentown,PA,1,Blue Devils,95.75,2013
Tour of Champions,4-Aug-13,Allentown,PA,2,Carolina Crown,95.1,2013
Tour of Champions,4-Aug-13,Allentown,PA,3,The Cadets,94.4,2013
Tour of Champions,4-Aug-13,Allentown,PA,4,Santa Clara Vanguard,93.15,2013
Tour of Champions,4-Aug-13,Allentown,PA,5,Phantom Regiment,91.55,2013
Tour of Champions,4-Aug-13,Allentown,PA,6,Bluecoats,90.85,2013
Tour of Champions,4-Aug-13,Allentown,PA,7,The Cavaliers,89.1,2013
Three Rivers SUMMER MUSIC GAMES,4-Aug-13,Pittsburgh,PA,1,Boston Crusaders,88.9,2013
Three Rivers SUMMER MUSIC GAMES,4-Aug-13,Pittsburgh,PA,2,Blue Knights,86.25,2013
Three Rivers SUMMER MUSIC GAMES,4-Aug-13,Pittsburgh,PA,3,Blue Stars,85.1,2013
Three Rivers SUMMER MUSIC GAMES,4-Aug-13,Pittsburgh,PA,4,Spirit of Atlanta,84.25,2013
Three Rivers SUMMER MUSIC GAMES,4-Aug-13,Pittsburgh,PA,5,Crossmen,83.1,2013
Three Rivers SUMMER MUSIC GAMES,4-Aug-13,Pittsburgh,PA,6,Troopers,82,2013
Three Rivers SUMMER MUSIC GAMES,4-Aug-13,Pittsburgh,PA,7,Seattle Cascades,69.05,2013
Shoremen Brass Classic,3-Aug-13,Avon Lake,OH,1,Blue Devils B,92.9,2013
Shoremen Brass Classic,3-Aug-13,Avon Lake,OH,2,Vanguard Cadets,92.4,2013
Shoremen Brass Classic,3-Aug-13,Avon Lake,OH,3,Genesis,89.2,2013
Shoremen Brass Classic,3-Aug-13,Avon Lake,OH,4,Spartans,88.25,2013
Shoremen Brass Classic,3-Aug-13,Avon Lake,OH,5,Music City,88.05,2013
Shoremen Brass Classic,3-Aug-13,Avon Lake,OH,6,Gold,85.05,2013
Shoremen Brass Classic,3-Aug-13,Avon Lake,OH,7,7th Regiment,84.95,2013
Shoremen Brass Classic,3-Aug-13,Avon Lake,OH,8,Legends,83.5,2013
Shoremen Brass Classic,3-Aug-13,Avon Lake,OH,9,Raiders,82.45,2013
Shoremen Brass Classic,3-Aug-13,Avon Lake,OH,10,Les Stentors,74.15,2013
Shoremen Brass Classic,3-Aug-13,Avon Lake,OH,11,Blue Saints,65.8,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,1,Blue Devils,95.05,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,2,Carolina Crown,94.85,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,3,The Cavaliers,88.75,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,4,Boston Crusaders,88.5,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,5,Madison Scouts,87.65,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,6,Blue Knights,86,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,7,Crossmen,83.25,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,8,Pacific Crest,80.25,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,9,Oregon Crusaders,77.15,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,10,Jersey Surf,75.15,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,11,Pioneer,70.75,2013
DCI Eastern Classic,3-Aug-13,Allentown,PA,12,Seattle Cascades,70.2,2013
DCI Eastern Classic,2-Aug-13,Allentown,PA,1,The Cadets,93.7,2013
DCI Eastern Classic,2-Aug-13,Allentown,PA,2,Santa Clara Vanguard,93.45,2013
DCI Eastern Classic,2-Aug-13,Allentown,PA,3,Phantom Regiment,90,2013
DCI Eastern Classic,2-Aug-13,Allentown,PA,4,Bluecoats,89.05,2013
DCI Eastern Classic,2-Aug-13,Allentown,PA,5,Blue Stars,84.35,2013
DCI Eastern Classic,2-Aug-13,Allentown,PA,6,Spirit of Atlanta,84.1,2013
DCI Eastern Classic,2-Aug-13,Allentown,PA,7,Troopers,81.65,2013
DCI Eastern Classic,2-Aug-13,Allentown,PA,8,Colts,79.65,2013
DCI Eastern Classic,2-Aug-13,Allentown,PA,9,Mandarins,76.05,2013
DCI Eastern Classic,2-Aug-13,Allentown,PA,10,The Academy,75.6,2013
A Blast in the Burg,2-Aug-13,Johnsonburg,PA,1,Blue Devils B,92.35,2013
A Blast in the Burg,2-Aug-13,Johnsonburg,PA,2,Vanguard Cadets,91.95,2013
A Blast in the Burg,2-Aug-13,Johnsonburg,PA,3,Genesis,88.6,2013
A Blast in the Burg,2-Aug-13,Johnsonburg,PA,4,Music City,88.25,2013
A Blast in the Burg,2-Aug-13,Johnsonburg,PA,5,7th Regiment,85.85,2013
A Blast in the Burg,2-Aug-13,Johnsonburg,PA,6,Blue Saints,65.35,2013
Four Flags Spectacular,1-Aug-13,Niles,MI,1,Spartans,86.25,2013
Four Flags Spectacular,1-Aug-13,Niles,MI,2,Genesis,85.9,2013
Four Flags Spectacular,1-Aug-13,Niles,MI,3,7th Regiment,84.1,2013
Four Flags Spectacular,1-Aug-13,Niles,MI,4,Legends,80.2,2013
Four Flags Spectacular,1-Aug-13,Niles,MI,4,Raiders,80.2,2013
Four Flags Spectacular,1-Aug-13,Niles,MI,6,Les Stentors,71.15,2013
Four Flags Spectacular,1-Aug-13,Niles,MI,7,Blue Saints,63,2013
East Coast Classic,1-Aug-13,Lawrence,MA,1,The Cadets,93.15,2013
East Coast Classic,1-Aug-13,Lawrence,MA,2,Madison Scouts,87.3,2013
East Coast Classic,1-Aug-13,Lawrence,MA,3,Boston Crusaders,87.25,2013
East Coast Classic,1-Aug-13,Lawrence,MA,4,Crossmen,82.6,2013
Drums Along the Mohawk,1-Aug-13,Rome,NY,1,Blue Knights,86.8,2013
Drums Along the Mohawk,1-Aug-13,Rome,NY,2,Blue Stars,83.1,2013
Drums Along the Mohawk,1-Aug-13,Rome,NY,3,Troopers,80.1,2013
Drums Along the Mohawk,1-Aug-13,Rome,NY,4,Oregon Crusaders,76.6,2013
Drums Along the Mohawk,1-Aug-13,Rome,NY,5,The Academy,76.5,2013
Drums Along the Mohawk,1-Aug-13,Rome,NY,6,Jersey Surf,72.9,2013
Drums Along the Mohawk,1-Aug-13,Rome,NY,7,Seattle Cascades,67.85,2013
Music to the Core,31-Jul-13,Spring Valley,IL,1,Genesis,86.6,2013
Music to the Core,31-Jul-13,Spring Valley,IL,2,Music City,86.2,2013
Music to the Core,31-Jul-13,Spring Valley,IL,3,7th Regiment,83.5,2013
Music to the Core,31-Jul-13,Spring Valley,IL,4,Raiders,82.35,2013
Music to the Core,31-Jul-13,Spring Valley,IL,5,Legends,82.15,2013
Music to the Core,31-Jul-13,Spring Valley,IL,6,Colt Cadets,77.25,2013
Music to the Core,31-Jul-13,Spring Valley,IL,7,Les Stentors,70.8,2013
Lake Erie Fanfare,31-Jul-13,Erie,PA,1,Santa Clara Vanguard,92.55,2013
Lake Erie Fanfare,31-Jul-13,Erie,PA,2,Blue Knights,86.95,2013
Lake Erie Fanfare,31-Jul-13,Erie,PA,3,Spirit of Atlanta,84,2013
Lake Erie Fanfare,31-Jul-13,Erie,PA,4,Blue Stars,82.95,2013
Lake Erie Fanfare,31-Jul-13,Erie,PA,5,Troopers,79.95,2013
Lake Erie Fanfare,31-Jul-13,Erie,PA,6,Oregon Crusaders,76.1,2013
Lake Erie Fanfare,31-Jul-13,Erie,PA,7,The Academy,75.8,2013
Drums in Northern Virginia,31-Jul-13,Warrenton,VA,1,Blue Devils,94.5,2013
Drums in Northern Virginia,31-Jul-13,Warrenton,VA,2,Bluecoats,90.8,2013
Drums in Northern Virginia,31-Jul-13,Warrenton,VA,3,Colts,81.25,2013
Drums in Northern Virginia,31-Jul-13,Warrenton,VA,4,Pacific Crest,79.15,2013
Drums in Northern Virginia,31-Jul-13,Warrenton,VA,5,Mandarins,77.95,2013
Drums in Northern Virginia,31-Jul-13,Warrenton,VA,6,Pioneer,68.85,2013
Drums in Northern Virginia,31-Jul-13,Warrenton,VA,7,Seattle Cascades,68.25,2013
Drum Corps: An American Tradition,31-Jul-13,West Chester,PA,1,Carolina Crown,93.65,2013
Drum Corps: An American Tradition,31-Jul-13,West Chester,PA,2,The Cadets,92.7,2013
Drum Corps: An American Tradition,31-Jul-13,West Chester,PA,3,The Cavaliers,87.25,2013
Drum Corps: An American Tradition,31-Jul-13,West Chester,PA,4,Madison Scouts,86.8,2013
Drum Corps: An American Tradition,31-Jul-13,West Chester,PA,5,Crossmen,82.5,2013
Drum Corps: An American Tradition,31-Jul-13,West Chester,PA,6,Jersey Surf,71.55,2013
WDBJ-7 Summer Music Games of Southwest Virginia,30-Jul-13,Salem,VA,1,Carolina Crown,94.1,2013
WDBJ-7 Summer Music Games of Southwest Virginia,30-Jul-13,Salem,VA,2,Blue Devils,93.3,2013
WDBJ-7 Summer Music Games of Southwest Virginia,30-Jul-13,Salem,VA,3,Boston Crusaders,86.1,2013
WDBJ-7 Summer Music Games of Southwest Virginia,30-Jul-13,Salem,VA,4,Crossmen,82,2013
WDBJ-7 Summer Music Games of Southwest Virginia,30-Jul-13,Salem,VA,5,Colts,79.2,2013
WDBJ-7 Summer Music Games of Southwest Virginia,30-Jul-13,Salem,VA,6,Pacific Crest,79.05,2013
WDBJ-7 Summer Music Games of Southwest Virginia,30-Jul-13,Salem,VA,7,Mandarins,76,2013
WDBJ-7 Summer Music Games of Southwest Virginia,30-Jul-13,Salem,VA,8,Pioneer,69.75,2013
The Music Man's Festival of Brass,30-Jul-13,Mason City,IA,1,Genesis,84.45,2013
The Music Man's Festival of Brass,30-Jul-13,Mason City,IA,2,Spartans,84.35,2013
The Music Man's Festival of Brass,30-Jul-13,Mason City,IA,3,7th Regiment,82.4,2013
The Music Man's Festival of Brass,30-Jul-13,Mason City,IA,4,Legends,80.55,2013
The Music Man's Festival of Brass,30-Jul-13,Mason City,IA,5,Raiders,79.8,2013
The Music Man's Festival of Brass,30-Jul-13,Mason City,IA,6,Colt Cadets,76.4,2013
The Music Man's Festival of Brass,30-Jul-13,Mason City,IA,7,Les Stentors,70.5,2013
The Music Man's Festival of Brass,30-Jul-13,Mason City,IA,9,Blue Saints,59.6,2013
Emerald City Music Games,30-Jul-13,Dublin,OH,1,Santa Clara Vanguard,91.3,2013
Emerald City Music Games,30-Jul-13,Dublin,OH,2,Blue Knights,85.8,2013
Emerald City Music Games,30-Jul-13,Dublin,OH,3,Spirit of Atlanta,83.35,2013
Emerald City Music Games,30-Jul-13,Dublin,OH,4,Blue Stars,81.95,2013
Emerald City Music Games,30-Jul-13,Dublin,OH,5,Troopers,79,2013
Emerald City Music Games,30-Jul-13,Dublin,OH,6,The Academy,75.65,2013
Emerald City Music Games,30-Jul-13,Dublin,OH,7,Oregon Crusaders,75.25,2013
Drums Across the Tri-State,30-Jul-13,Charleston,WV,1,Phantom Regiment,88.9,2013
Drums Across the Tri-State,30-Jul-13,Charleston,WV,2,Bluecoats,88.3,2013
Drums Across the Tri-State,30-Jul-13,Charleston,WV,3,The Cavaliers,85.9,2013
Drums Across the Tri-State,30-Jul-13,Charleston,WV,4,Madison Scouts,85.8,2013
Drums Across the Tri-State,30-Jul-13,Charleston,WV,5,Seattle Cascades,68.4,2013
Rhythm Across Rice Lake,29-Jul-13,Rice Lake,WI,1,Spartans,83.6,2013
Rhythm Across Rice Lake,29-Jul-13,Rice Lake,WI,2,Genesis,82.55,2013
Rhythm Across Rice Lake,29-Jul-13,Rice Lake,WI,3,7th Regiment,81.2,2013
Rhythm Across Rice Lake,29-Jul-13,Rice Lake,WI,4,Legends,79.6,2013
Rhythm Across Rice Lake,29-Jul-13,Rice Lake,WI,5,Raiders,77.4,2013
Rhythm Across Rice Lake,29-Jul-13,Rice Lake,WI,6,Les Stentors,70.15,2013
Rhythm Across Rice Lake,29-Jul-13,Rice Lake,WI,7,Blue Saints,56.15,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,1,Blue Devils,92.9,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,2,Carolina Crown,92.55,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,3,The Cadets,92,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,4,Santa Clara Vanguard,91.35,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,5,Phantom Regiment,89,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,6,Bluecoats,88.2,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,7,Madison Scouts,86.2,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,8,The Cavaliers,85.35,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,9,Boston Crusaders,85,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,10,Blue Knights,84.55,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,11,Spirit of Atlanta,82.7,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,12,Blue Stars,82.15,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,13,Troopers,80.35,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,14,Crossmen,79.95,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,15,Colts,77.75,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,16,Pacific Crest,77.3,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,17,Mandarins,75.5,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,18,The Academy,74.55,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,19,Oregon Crusaders,74.4,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,20,Jersey Surf,70.65,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,21,Seattle Cascades,68.85,2013
DCI Atlanta Southeastern Championship,28-Jul-13,Atlanta,GA,21,Pioneer,68.85,2013
NightBEAT,27-Jul-13,Charlotte,NC,1,Blue Devils,91.9,2013
NightBEAT,27-Jul-13,Charlotte,NC,2,Carolina Crown,91.85,2013
NightBEAT,27-Jul-13,Charlotte,NC,3,The Cadets,90.85,2013
NightBEAT,27-Jul-13,Charlotte,NC,4,Santa Clara Vanguard,89.05,2013
NightBEAT,27-Jul-13,Charlotte,NC,5,Phantom Regiment,87.9,2013
NightBEAT,27-Jul-13,Charlotte,NC,6,Bluecoats,86.7,2013
NightBEAT,27-Jul-13,Charlotte,NC,7,The Cavaliers,84.95,2013
Legends Drum Corps Open,27-Jul-13,Kalamazoo,MI,1,Blue Devils B,85,2013
Legends Drum Corps Open,27-Jul-13,Kalamazoo,MI,2,Vanguard Cadets,83.3,2013
Legends Drum Corps Open,27-Jul-13,Kalamazoo,MI,3,Spartans,80.75,2013
Legends Drum Corps Open,27-Jul-13,Kalamazoo,MI,4,Genesis,80.45,2013
Legends Drum Corps Open,27-Jul-13,Kalamazoo,MI,5,7th Regiment,79.3,2013
Legends Drum Corps Open,27-Jul-13,Kalamazoo,MI,6,Legends,76.85,2013
Legends Drum Corps Open,27-Jul-13,Kalamazoo,MI,7,Colt Cadets,73.55,2013
Legends Drum Corps Open,27-Jul-13,Kalamazoo,MI,- -,Raiders,- -,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,1,Madison Scouts,85.95,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,2,Boston Crusaders,84.2,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,3,Blue Knights,83.6,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,4,Spirit of Atlanta,82.15,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,5,Blue Stars,81.4,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,6,Crossmen,79.9,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,7,Troopers,78.85,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,8,Colts,77.2,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,9,Pacific Crest,76.2,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,10,Oregon Crusaders,75.3,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,11,The Academy,74.85,2013
DCI North Alabama,27-Jul-13,Huntsville,AL,12,Jersey Surf,72.1,2013
